2024-05-30 16:35:50.032, Motor_100_Start_PB, BOOL, True
2024-05-30 16:35:50.061, Motor_100_Motor_ON_CMD, BOOL, True
2024-05-30 16:35:50.102, Motor_100_Actual_Speed, REAL, 150.0
2024-05-30 16:35:50.129, Motor_100_Actual_Current, REAL, 1.2
2024-05-30 16:35:50.147, Motor_100_Actual_Power, REAL, 1.0
2024-05-30 16:35:50.156, Motor_100_Actual_Torque, REAL, 5.0
2024-05-30 16:35:50.168, Motor_100_Per_Actual_Speed, REAL, 10.0
2024-05-30 16:35:50.179, Motor_100_Per_Actual_Current, REAL, 10.0
2024-05-30 16:35:50.192, Motor_100_Per_Actual_Power, REAL, 10.0
2024-05-30 16:35:50.204, Motor_100_Per_Actual_Torque, REAL, 10.0
2024-05-30 16:35:50.217, Motor_101_Start_PB, BOOL, True
2024-05-30 16:35:50.249, Motor_101_Motor_ON_CMD, BOOL, True
2024-05-30 16:35:50.270, Motor_101_Actual_Speed, REAL, 300.0
2024-05-30 16:35:50.296, Motor_101_Actual_Current, REAL, 2.3
2024-05-30 16:35:50.316, Motor_101_Actual_Power, REAL, 1.7
2024-05-30 16:35:50.328, Motor_101_Actual_Torque, REAL, 10.0
2024-05-30 16:35:50.338, Motor_101_Per_Actual_Speed, REAL, 20.0
2024-05-30 16:35:50.348, Motor_101_Per_Actual_Current, REAL, 19.18
2024-05-30 16:35:50.359, Motor_101_Per_Actual_Power, REAL, 17.01
2024-05-30 16:35:50.372, Motor_101_Per_Actual_Torque, REAL, 20.0
2024-05-30 16:35:50.381, Motor_102_Start_PB, BOOL, True
2024-05-30 16:35:50.395, Motor_102_Motor_ON_CMD, BOOL, True
2024-05-30 16:35:50.408, Motor_102_Actual_Speed, REAL, 420.0
2024-05-30 16:35:50.418, Motor_102_Actual_Current, REAL, 3.4
2024-05-30 16:35:50.430, Motor_102_Actual_Power, REAL, 2.8
2024-05-30 16:35:50.441, Motor_102_Actual_Torque, REAL, 13.0
2024-05-30 16:35:50.452, Motor_102_Per_Actual_Speed, REAL, 28.0
2024-05-30 16:35:50.462, Motor_102_Per_Actual_Current, REAL, 28.34
2024-05-30 16:35:50.474, Motor_102_Per_Actual_Power, REAL, 28.01
2024-05-30 16:35:50.487, Motor_102_Per_Actual_Torque, REAL, 26.0
2024-05-30 16:35:50.500, Motor_103_Start_PB, BOOL, True
2024-05-30 16:35:50.525, Motor_103_Motor_ON_CMD, BOOL, True
2024-05-30 16:35:50.565, Motor_103_Actual_Speed, REAL, 600.0
2024-05-30 16:35:50.586, Motor_103_Actual_Current, REAL, 4.8
2024-05-30 16:35:50.613, Motor_103_Actual_Power, REAL, 3.9
2024-05-30 16:35:50.631, Motor_103_Actual_Torque, REAL, 20.0
2024-05-30 16:35:50.641, Motor_103_Per_Actual_Speed, REAL, 40.0
2024-05-30 16:35:50.659, Motor_103_Per_Actual_Current, REAL, 39.96
2024-05-30 16:35:50.693, Motor_103_Per_Actual_Power, REAL, 39.0
2024-05-30 16:35:50.720, Motor_103_Per_Actual_Torque, REAL, 40.0
2024-05-30 16:35:50.739, Motor_104_Start_PB, BOOL, True
2024-05-30 16:35:50.763, Motor_104_Motor_ON_CMD, BOOL, True
2024-05-30 16:35:50.799, Motor_104_Actual_Speed, REAL, 750.0
2024-05-30 16:35:50.824, Motor_104_Actual_Current, REAL, 6.0
2024-05-30 16:35:50.835, Motor_104_Actual_Power, REAL, 5.0
2024-05-30 16:35:50.846, Motor_104_Actual_Torque, REAL, 25.0
2024-05-30 16:35:50.856, Motor_104_Per_Actual_Speed, REAL, 50.0
2024-05-30 16:35:50.867, Motor_104_Per_Actual_Current, REAL, 49.13
2024-05-30 16:35:50.877, Motor_104_Per_Actual_Power, REAL, 49.95
