PLC is connected 2024-04-24 12:23:15.243074
Data Fetching From Plc 2024-04-24 12:23:15.332471
Data Fetching From Plc 2024-04-24 12:23:20.476028
Data Fetching From Plc 2024-04-24 12:23:25.633791
Data Fetching From Plc 2024-04-24 12:23:30.801525
Data Fetching From Plc 2024-04-24 12:23:35.962588
Data Fetching From Plc 2024-04-24 12:23:41.129218
Data Fetching From Plc 2024-04-24 12:23:46.288407
Data Fetching From Plc 2024-04-24 12:23:51.448616
Data Fetching From Plc 2024-04-24 12:23:56.624680
Data Fetching From Plc 2024-04-24 12:24:01.755957
Data Fetching From Plc 2024-04-24 12:24:06.892751
Data Fetching From Plc 2024-04-24 12:24:12.068641
Data Fetching From Plc 2024-04-24 12:24:17.239784
Data Fetching From Plc 2024-04-24 12:24:22.424951
Data Fetching From Plc 2024-04-24 12:24:27.592478
Data Fetching From Plc 2024-04-24 12:24:32.765339
Data Fetching From Plc 2024-04-24 12:24:37.925185
Data Fetching From Plc 2024-04-24 12:24:43.086475
Data Fetching From Plc 2024-04-24 12:24:48.323831
Data Fetching From Plc 2024-04-24 12:24:53.578093
Data Fetching From Plc 2024-04-24 12:24:58.758648
Data Fetching From Plc 2024-04-24 12:25:03.919093
Data Fetching From Plc 2024-04-24 12:25:09.081063
Data Fetching From Plc 2024-04-24 12:25:14.250217
Data Fetching From Plc 2024-04-24 12:25:19.414144
Data Fetching From Plc 2024-04-24 12:25:24.572804
Data Fetching From Plc 2024-04-24 12:25:29.771852
Data Fetching From Plc 2024-04-24 12:25:34.929609
Data Fetching From Plc 2024-04-24 12:25:40.087489
Data Fetching From Plc 2024-04-24 12:25:45.249663
Data Fetching From Plc 2024-04-24 12:25:50.416818
Data Fetching From Plc 2024-04-24 12:25:55.582605
Data Fetching From Plc 2024-04-24 12:26:00.774899
Data Fetching From Plc 2024-04-24 12:26:05.942260
Data Fetching From Plc 2024-04-24 12:26:11.103427
Data Fetching From Plc 2024-04-24 12:26:16.289310
Data Fetching From Plc 2024-04-24 12:26:21.499710
Data Fetching From Plc 2024-04-24 12:26:26.673762
Data Fetching From Plc 2024-04-24 12:26:31.864255
Data Fetching From Plc 2024-04-24 12:26:37.029831
Data Fetching From Plc 2024-04-24 12:26:42.188284
Data Fetching From Plc 2024-04-24 12:26:47.344989
Data Fetching From Plc 2024-04-24 12:26:52.510651
Data Fetching From Plc 2024-04-24 12:26:57.678700
Data Fetching From Plc 2024-04-24 12:27:02.936174
Data Fetching From Plc 2024-04-24 12:27:08.181603
Data Fetching From Plc 2024-04-24 12:27:13.341204
Data Fetching From Plc 2024-04-24 12:27:18.502337
Data Fetching From Plc 2024-04-24 12:27:23.685089
Data Fetching From Plc 2024-04-24 12:27:28.874574
Data Fetching From Plc 2024-04-24 12:27:34.051077
Data Fetching From Plc 2024-04-24 12:27:39.246886
Data Fetching From Plc 2024-04-24 12:27:44.413548
Data Fetching From Plc 2024-04-24 12:27:49.588631
Data Fetching From Plc 2024-04-24 12:27:54.776148
Data Fetching From Plc 2024-04-24 12:27:59.938300
Data Fetching From Plc 2024-04-24 12:28:05.107672
Data Fetching From Plc 2024-04-24 12:28:10.325347
Data Fetching From Plc 2024-04-24 12:28:15.490183
Data Fetching From Plc 2024-04-24 12:28:20.665705
Data Fetching From Plc 2024-04-24 12:28:25.830363
Data Fetching From Plc 2024-04-24 12:28:31.079469
Data Fetching From Plc 2024-04-24 12:28:36.262625
Data Fetching From Plc 2024-04-24 12:28:41.424312
Data Fetching From Plc 2024-04-24 12:28:46.611848
Data Fetching From Plc 2024-04-24 12:28:51.785812
Data Fetching From Plc 2024-04-24 12:28:56.950004
Data Fetching From Plc 2024-04-24 12:29:02.113566
Data Fetching From Plc 2024-04-24 12:29:07.299098
Data Fetching From Plc 2024-04-24 12:29:12.488378
Data Fetching From Plc 2024-04-24 12:29:17.730117
Data Fetching From Plc 2024-04-24 12:29:22.897883
Data Fetching From Plc 2024-04-24 12:29:28.086005
Data Fetching From Plc 2024-04-24 12:29:33.251291
Data Fetching From Plc 2024-04-24 12:29:38.432923
Data Fetching From Plc 2024-04-24 12:29:43.618564
Data Fetching From Plc 2024-04-24 12:29:48.790087
Data Fetching From Plc 2024-04-24 12:29:53.955596
Data Fetching From Plc 2024-04-24 12:29:59.126094
Data Fetching From Plc 2024-04-24 12:30:04.294717
Data Fetching From Plc 2024-04-24 12:30:09.473221
Data Fetching From Plc 2024-04-24 12:30:14.650674
Data Fetching From Plc 2024-04-24 12:30:19.856180
Data Fetching From Plc 2024-04-24 12:30:25.027408
Data Fetching From Plc 2024-04-24 12:30:30.197037
Data Fetching From Plc 2024-04-24 12:30:35.384442
Data Fetching From Plc 2024-04-24 12:30:40.554503
Data Fetching From Plc 2024-04-24 12:30:45.743698
Data Fetching From Plc 2024-04-24 12:30:50.909108
Data Fetching From Plc 2024-04-24 12:30:56.065914
Data Fetching From Plc 2024-04-24 12:31:01.235542
Data Fetching From Plc 2024-04-24 12:31:06.409861
Data Fetching From Plc 2024-04-24 12:31:11.583233
Data Fetching From Plc 2024-04-24 12:31:16.745880
Data Fetching From Plc 2024-04-24 12:31:21.907433
Data Fetching From Plc 2024-04-24 12:31:27.137000
Data Fetching From Plc 2024-04-24 12:31:32.363298
Data Fetching From Plc 2024-04-24 12:31:37.525609
Data Fetching From Plc 2024-04-24 12:31:42.700199
Data Fetching From Plc 2024-04-24 12:31:47.860627
Data Fetching From Plc 2024-04-24 12:31:53.034766
Data Fetching From Plc 2024-04-24 12:31:58.207192
Data Fetching From Plc 2024-04-24 12:32:03.371175
Data Fetching From Plc 2024-04-24 12:32:08.531225
Data Fetching From Plc 2024-04-24 12:32:13.710102
Data Fetching From Plc 2024-04-24 12:32:18.872064
Data Fetching From Plc 2024-04-24 12:32:24.069541
Data Fetching From Plc 2024-04-24 12:32:29.255348
Data Fetching From Plc 2024-04-24 12:32:34.415939
Data Fetching From Plc 2024-04-24 12:32:39.576401
Data Fetching From Plc 2024-04-24 12:32:44.749806
Data Fetching From Plc 2024-04-24 12:32:49.915637
Data Fetching From Plc 2024-04-24 12:32:55.090321
Data Fetching From Plc 2024-04-24 12:33:00.321049
Data Fetching From Plc 2024-04-24 12:33:05.491581
Data Fetching From Plc 2024-04-24 12:33:10.663910
Data Fetching From Plc 2024-04-24 12:33:15.842375
Data Fetching From Plc 2024-04-24 12:33:21.022330
Data Fetching From Plc 2024-04-24 12:33:26.186844
Data Fetching From Plc 2024-04-24 12:33:31.373321
Data Fetching From Plc 2024-04-24 12:33:36.562730
Data Fetching From Plc 2024-04-24 12:33:41.768933
Data Fetching From Plc 2024-04-24 12:33:46.937454
Data Fetching From Plc 2024-04-24 12:33:52.106412
Data Fetching From Plc 2024-04-24 12:33:57.263915
Data Fetching From Plc 2024-04-24 12:34:02.477567
Data Fetching From Plc 2024-04-24 12:34:07.708730
Data Fetching From Plc 2024-04-24 12:34:12.869392
Data Fetching From Plc 2024-04-24 12:34:18.095451
Data Fetching From Plc 2024-04-24 12:34:23.259089
Data Fetching From Plc 2024-04-24 12:34:28.429646
Data Fetching From Plc 2024-04-24 12:34:33.598907
Data Fetching From Plc 2024-04-24 12:34:38.777579
Data Fetching From Plc 2024-04-24 12:34:43.996741
Data Fetching From Plc 2024-04-24 12:34:49.201161
Data Fetching From Plc 2024-04-24 12:34:54.385408
Data Fetching From Plc 2024-04-24 12:34:59.551791
Data Fetching From Plc 2024-04-24 12:35:04.712973
Data Fetching From Plc 2024-04-24 12:35:09.909663
Data Fetching From Plc 2024-04-24 12:35:15.090373
Data Fetching From Plc 2024-04-24 12:35:20.271725
Data Fetching From Plc 2024-04-24 12:35:25.449059
Data Fetching From Plc 2024-04-24 12:35:30.622703
Data Fetching From Plc 2024-04-24 12:35:35.785257
Data Fetching From Plc 2024-04-24 12:35:40.956997
Data Fetching From Plc 2024-04-24 12:35:46.124128
Data Fetching From Plc 2024-04-24 12:35:51.347201
Data Fetching From Plc 2024-04-24 12:35:56.649156
Data Fetching From Plc 2024-04-24 12:36:01.808385
Data Fetching From Plc 2024-04-24 12:36:06.972555
Data Fetching From Plc 2024-04-24 12:36:12.152810
Data Fetching From Plc 2024-04-24 12:36:17.318407
Data Fetching From Plc 2024-04-24 12:36:22.517105
Data Fetching From Plc 2024-04-24 12:36:27.708228
Data Fetching From Plc 2024-04-24 12:36:32.865679
Data Fetching From Plc 2024-04-24 12:36:38.040842
Data Fetching From Plc 2024-04-24 12:36:43.229697
Data Fetching From Plc 2024-04-24 12:36:48.398946
Data Fetching From Plc 2024-04-24 12:36:53.599641
Data Fetching From Plc 2024-04-24 12:36:58.882558
Data Fetching From Plc 2024-04-24 12:37:04.053364
Data Fetching From Plc 2024-04-24 12:37:09.224812
Data Fetching From Plc 2024-04-24 12:37:14.390285
Data Fetching From Plc 2024-04-24 12:37:19.615402
Data Fetching From Plc 2024-04-24 12:37:24.888815
Data Fetching From Plc 2024-04-24 12:37:30.060319
Data Fetching From Plc 2024-04-24 12:37:35.262449
Data Fetching From Plc 2024-04-24 12:37:40.433167
Data Fetching From Plc 2024-04-24 12:37:45.598717
Data Fetching From Plc 2024-04-24 12:37:50.770392
Data Fetching From Plc 2024-04-24 12:37:55.937801
Data Fetching From Plc 2024-04-24 12:38:01.086985
Data Fetching From Plc 2024-04-24 12:38:06.251488
Data Fetching From Plc 2024-04-24 12:38:11.383817
Data Fetching From Plc 2024-04-24 12:38:16.532975
Data Fetching From Plc 2024-04-24 12:38:21.676842
Data Fetching From Plc 2024-04-24 12:38:26.826142
Data Fetching From Plc 2024-04-24 12:38:32.001378
Data Fetching From Plc 2024-04-24 12:38:37.135076
Data Fetching From Plc 2024-04-24 12:38:42.262503
Data Fetching From Plc 2024-04-24 12:38:47.393794
Data Fetching From Plc 2024-04-24 12:38:52.537774
Data Fetching From Plc 2024-04-24 12:38:57.668225
Data Fetching From Plc 2024-04-24 12:39:02.806329
Data Fetching From Plc 2024-04-24 12:39:07.976001
Data Fetching From Plc 2024-04-24 12:39:13.104824
Data Fetching From Plc 2024-04-24 12:39:18.254533
Data Fetching From Plc 2024-04-24 12:39:23.403181
Data Fetching From Plc 2024-04-24 12:39:28.539168
Data Fetching From Plc 2024-04-24 12:39:33.714335
Data Fetching From Plc 2024-04-24 12:39:38.882365
Data Fetching From Plc 2024-04-24 12:39:44.007984
Data Fetching From Plc 2024-04-24 12:39:49.135895
Data Fetching From Plc 2024-04-24 12:39:54.318035
Data Fetching From Plc 2024-04-24 12:39:59.488739
Data Fetching From Plc 2024-04-24 12:40:04.655244
Data Fetching From Plc 2024-04-24 12:40:09.820116
Data Fetching From Plc 2024-04-24 12:40:15.115511
Data Fetching From Plc 2024-04-24 12:40:20.384539
Data Fetching From Plc 2024-04-24 12:40:25.556783
Data Fetching From Plc 2024-04-24 12:40:30.759577
Data Fetching From Plc 2024-04-24 12:40:35.922419
Data Fetching From Plc 2024-04-24 12:40:41.162179
Data Fetching From Plc 2024-04-24 12:40:46.448781
Data Fetching From Plc 2024-04-24 12:40:51.608325
Data Fetching From Plc 2024-04-24 12:40:56.814364
Data Fetching From Plc 2024-04-24 12:41:01.988769
Data Fetching From Plc 2024-04-24 12:41:07.158311
Data Fetching From Plc 2024-04-24 12:41:12.324002
Data Fetching From Plc 2024-04-24 12:41:17.482984
Data Fetching From Plc 2024-04-24 12:41:22.665772
Data Fetching From Plc 2024-04-24 12:41:27.855458
Data Fetching From Plc 2024-04-24 12:41:33.021143
Data Fetching From Plc 2024-04-24 12:41:38.192157
Data Fetching From Plc 2024-04-24 12:41:43.378326
Data Fetching From Plc 2024-04-24 12:41:48.623827
Data Fetching From Plc 2024-04-24 12:41:53.785577
Data Fetching From Plc 2024-04-24 12:41:58.959058
Data Fetching From Plc 2024-04-24 12:42:04.123645
Data Fetching From Plc 2024-04-24 12:42:09.293222
Data Fetching From Plc 2024-04-24 12:42:14.477220
Data Fetching From Plc 2024-04-24 12:42:19.648409
Data Fetching From Plc 2024-04-24 12:42:24.841016
Data Fetching From Plc 2024-04-24 12:42:30.108208
Data Fetching From Plc 2024-04-24 12:42:35.271685
Data Fetching From Plc 2024-04-24 12:42:40.436118
Data Fetching From Plc 2024-04-24 12:42:45.607908
Data Fetching From Plc 2024-04-24 12:42:50.801899
Data Fetching From Plc 2024-04-24 12:42:55.960527
Data Fetching From Plc 2024-04-24 12:43:01.118897
Data Fetching From Plc 2024-04-24 12:43:06.302286
Data Fetching From Plc 2024-04-24 12:43:11.467511
Data Fetching From Plc 2024-04-24 12:43:16.640716
Data Fetching From Plc 2024-04-24 12:43:21.811218
Data Fetching From Plc 2024-04-24 12:43:26.983092
Data Fetching From Plc 2024-04-24 12:43:32.165841
Data Fetching From Plc 2024-04-24 12:43:37.389299
Data Fetching From Plc 2024-04-24 12:43:42.554529
Data Fetching From Plc 2024-04-24 12:43:47.710574
Data Fetching From Plc 2024-04-24 12:43:52.877074
Data Fetching From Plc 2024-04-24 12:43:58.041015
Data Fetching From Plc 2024-04-24 12:44:03.203622
Data Fetching From Plc 2024-04-24 12:44:08.368373
Data Fetching From Plc 2024-04-24 12:44:13.533458
Data Fetching From Plc 2024-04-24 12:44:18.691926
Data Fetching From Plc 2024-04-24 12:44:23.855357
Data Fetching From Plc 2024-04-24 12:44:29.024114
Data Fetching From Plc 2024-04-24 12:44:34.187956
Data Fetching From Plc 2024-04-24 12:44:39.368841
Data Fetching From Plc 2024-04-24 12:44:44.570670
Data Fetching From Plc 2024-04-24 12:44:49.741205
Data Fetching From Plc 2024-04-24 12:44:54.925939
Data Fetching From Plc 2024-04-24 12:45:00.085647
Data Fetching From Plc 2024-04-24 12:45:05.274632
Data Fetching From Plc 2024-04-24 12:45:10.432274
Data Fetching From Plc 2024-04-24 12:45:15.636559
Data Fetching From Plc 2024-04-24 12:45:20.800703
Data Fetching From Plc 2024-04-24 12:45:25.960464
Data Fetching From Plc 2024-04-24 12:45:31.124309
Data Fetching From Plc 2024-04-24 12:45:36.285102
Data Fetching From Plc 2024-04-24 12:45:41.464184
Data Fetching From Plc 2024-04-24 12:45:46.712609
Data Fetching From Plc 2024-04-24 12:45:51.878316
Data Fetching From Plc 2024-04-24 12:45:57.042771
Data Fetching From Plc 2024-04-24 12:46:02.232972
Data Fetching From Plc 2024-04-24 12:46:07.405958
Data Fetching From Plc 2024-04-24 12:46:12.599658
Data Fetching From Plc 2024-04-24 12:46:17.770101
Data Fetching From Plc 2024-04-24 12:46:22.933330
Data Fetching From Plc 2024-04-24 12:46:28.096862
Data Fetching From Plc 2024-04-24 12:46:33.261071
Data Fetching From Plc 2024-04-24 12:46:38.421337
Data Fetching From Plc 2024-04-24 12:46:43.596656
Data Fetching From Plc 2024-04-24 12:46:48.789659
Data Fetching From Plc 2024-04-24 12:46:53.981717
Data Fetching From Plc 2024-04-24 12:46:59.149512
Data Fetching From Plc 2024-04-24 12:47:04.324440
Data Fetching From Plc 2024-04-24 12:47:09.489309
Data Fetching From Plc 2024-04-24 12:47:14.683131
Data Fetching From Plc 2024-04-24 12:47:19.895878
Data Fetching From Plc 2024-04-24 12:47:25.097394
Data Fetching From Plc 2024-04-24 12:47:30.272093
Data Fetching From Plc 2024-04-24 12:47:35.432239
Data Fetching From Plc 2024-04-24 12:47:40.590609
Data Fetching From Plc 2024-04-24 12:47:45.755945
Data Fetching From Plc 2024-04-24 12:47:50.917933
Data Fetching From Plc 2024-04-24 12:47:56.130806
Data Fetching From Plc 2024-04-24 12:48:01.317801
Data Fetching From Plc 2024-04-24 12:48:06.483407
Data Fetching From Plc 2024-04-24 12:48:11.650614
Data Fetching From Plc 2024-04-24 12:48:16.810894
Data Fetching From Plc 2024-04-24 12:48:21.977909
Data Fetching From Plc 2024-04-24 12:48:27.185915
Data Fetching From Plc 2024-04-24 12:48:32.357459
Data Fetching From Plc 2024-04-24 12:48:37.525307
Data Fetching From Plc 2024-04-24 12:48:42.686191
Data Fetching From Plc 2024-04-24 12:48:47.862508
Data Fetching From Plc 2024-04-24 12:48:53.063954
Data Fetching From Plc 2024-04-24 12:48:58.223474
Data Fetching From Plc 2024-04-24 12:49:03.427676
Data Fetching From Plc 2024-04-24 12:49:08.635697
Data Fetching From Plc 2024-04-24 12:49:13.781026
Data Fetching From Plc 2024-04-24 12:49:18.921762
Data Fetching From Plc 2024-04-24 12:49:24.065979
Data Fetching From Plc 2024-04-24 12:49:29.225283
Data Fetching From Plc 2024-04-24 12:49:34.364944
Data Fetching From Plc 2024-04-24 12:49:39.487626
Data Fetching From Plc 2024-04-24 12:49:44.622652
Data Fetching From Plc 2024-04-24 12:49:49.765774
Data Fetching From Plc 2024-04-24 12:49:54.895637
Data Fetching From Plc 2024-04-24 12:50:00.035030
Data Fetching From Plc 2024-04-24 12:50:05.193367
Data Fetching From Plc 2024-04-24 12:50:10.330131
Data Fetching From Plc 2024-04-24 12:50:15.468494
Data Fetching From Plc 2024-04-24 12:50:20.611577
Data Fetching From Plc 2024-04-24 12:50:25.728829
Data Fetching From Plc 2024-04-24 12:50:30.876023
Data Fetching From Plc 2024-04-24 12:50:36.050272
Data Fetching From Plc 2024-04-24 12:50:41.170931
Data Fetching From Plc 2024-04-24 12:50:46.307235
Data Fetching From Plc 2024-04-24 12:50:51.448184
Data Fetching From Plc 2024-04-24 12:50:56.577123
Data Fetching From Plc 2024-04-24 12:51:01.716125
Data Fetching From Plc 2024-04-24 12:51:06.859917
Data Fetching From Plc 2024-04-24 12:51:11.987722
Data Fetching From Plc 2024-04-24 12:51:17.142628
Data Fetching From Plc 2024-04-24 12:51:22.279697
Data Fetching From Plc 2024-04-24 12:51:27.402006
Data Fetching From Plc 2024-04-24 12:51:32.542902
Data Fetching From Plc 2024-04-24 12:51:37.680463
Data Fetching From Plc 2024-04-24 12:51:42.834587
Data Fetching From Plc 2024-04-24 12:51:47.963103
Data Fetching From Plc 2024-04-24 12:51:53.131038
Data Fetching From Plc 2024-04-24 12:51:58.254892
Data Fetching From Plc 2024-04-24 12:52:03.381734
Data Fetching From Plc 2024-04-24 12:52:08.516388
Data Fetching From Plc 2024-04-24 12:52:13.650926
Data Fetching From Plc 2024-04-24 12:52:18.791876
Data Fetching From Plc 2024-04-24 12:52:23.956536
Data Fetching From Plc 2024-04-24 12:52:29.118690
Data Fetching From Plc 2024-04-24 12:52:34.249632
Data Fetching From Plc 2024-04-24 12:52:39.384343
Data Fetching From Plc 2024-04-24 12:52:44.545877
Data Fetching From Plc 2024-04-24 12:52:49.686015
Data Fetching From Plc 2024-04-24 12:52:54.823787
Data Fetching From Plc 2024-04-24 12:52:59.974869
Data Fetching From Plc 2024-04-24 12:53:05.154120
Data Fetching From Plc 2024-04-24 12:53:10.318342
Data Fetching From Plc 2024-04-24 12:53:15.484231
Data Fetching From Plc 2024-04-24 12:53:20.644087
Data Fetching From Plc 2024-04-24 12:53:25.836656
Data Fetching From Plc 2024-04-24 12:53:31.147447
Data Fetching From Plc 2024-04-24 12:53:36.312923
Data Fetching From Plc 2024-04-24 12:53:41.473144
Data Fetching From Plc 2024-04-24 12:53:46.661877
Data Fetching From Plc 2024-04-24 12:53:51.820892
Data Fetching From Plc 2024-04-24 12:53:57.010921
Data Fetching From Plc 2024-04-24 12:54:02.221092
Data Fetching From Plc 2024-04-24 12:54:07.385456
Data Fetching From Plc 2024-04-24 12:54:12.560292
Data Fetching From Plc 2024-04-24 12:54:17.732814
Data Fetching From Plc 2024-04-24 12:54:22.901031
Data Fetching From Plc 2024-04-24 12:54:28.063819
